link_dir, tx_beam, rx_beam, mcs, tx_mask22, tx_mask23, tx_mask24, rx_mask22, rx_mask23, rx_mask24, tx_gain_idx, rx_rf_gain_idx, rx_if_gain_idx, stf_snr, post_snr, rssi, rssi std, tx temp, rx temp
1to2, 2, 5, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 5, 18, 13, -14, 0, 52 , 54 
1to2, 2, 6, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 6, 17, 12, -14, 0, 52 , 54 
1to2, 2, 7, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 2, 10, 18, 13, -18, 0, 52 , 54 
1to2, 2, 8, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 11, 7, 5, -13, 0, 52 , 54 
1to2, 2, 9, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 10, 13, 10, -14, 0, 52 , 54 
1to2, 2, 10, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 6, 11, 8, -13, 0, 52 , 54 
1to2, 2, 11, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 11, 13, 12, -14, 0, 52 , 54 
1to2, 2, 12, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 5, 6, 5, 5, -15, 0, 52 , 54 
1to2, 2, 13, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 9, 6, -16, 0, 52 , 54 
1to2, 2, 14, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 9, 7, -18, 0, 52 , 54 
1to2, 2, 15, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 8, 5, -15, 0, 52 , 54 
1to2, 2, 16, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 10, 8, -13, 0, 52 , 54 
1to2, 2, 17, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 3, 9, 15, 11, -15, 0, 52 , 54 
1to2, 2, 18, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 6, 5, -15, 0, 52 , 54 
1to2, 2, 19, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 7, 9, 6, -15, 0, 52 , 54 
1to2, 2, 20, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 8, 9, 5, -14, 0, 52 , 54 
1to2, 2, 21, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 5, 7, 1, 3, -17, 0, 52 , 54 
1to2, 2, 22, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 7, 5, -16, 0, 52 , 54 
1to2, 2, 23, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 6, 11, 7, -14, 0, 52 , 54 
1to2, 2, 24, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 5, 7, 3, 4, -14, 0, 52 , 54 
1to2, 2, 25, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 10, 7, 5, -15, 0, 52 , 54 
1to2, 2, 26, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 5, 6, 3, 4, -15, 0, 52 , 54 
1to2, 2, 27, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 4, 13, 4, 3, -16, 0, 52 , 54 
1to2, 2, 28, 1, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 0Xfff, 15, 5, 5, 6, 5, -15, 0, 52 , 54 
